@relation repo_popular

@attribute fork numeric
@attribute size numeric
@attribute sum numeric
@attribute avg numeric
@attribute weight numeric

@data
5,412,1495,1495,1495
2,37952,0,0,0
0,303,0,0,0
3,113,34,34,34
17,181,5672,2836,2522.5
3,147,1498,749,1453.56
0,308,1532,1532,1532
1,126,2237,1118.5,1289.64
0,6044,0,0,0
0,10515,27014,284.358,1751.17
129,71416,7976,69.3565,39.099
3,235,0,0,0
2,72,7326,7326,7326
0,100,0,0,0
8,637,0,0,0
0,226338,425,14.6552,37.8343
1,116,0,0,0
55,304,11061,921.75,3143.37
0,156,0,0,0
1,283,1495,1495,1495
7,167,1843,614.333,852.789
6,890,1675,837.5,1463.09
7,374,2835,708.75,1560.35
2,3218,7326,7326,7326
0,98,33,16.5,16.5
1,261,4,4,4
283,4181,14018,226.097,861.995
7,444,1474,1474,1474
3,1474,11144,2228.8,308.51
0,213,660,660,660
12,19175,0,0,0
0,676,110,27.5,34.3333
1,24573,11,11,11
0,10519,932,155.333,599.12
0,13674,7336,215.765,269.651
10,3449,7017,539.769,1720.7
1,875,0,0,0
80,269,21692,1205.11,8277.05
0,97,65,65,65
0,11204,2888,962.667,455.282
0,80,16,16,16
3,91,756,252,118.273
0,132,1752,1752,1752
0,144,38,38,38
20,312,2557,255.7,1672.43
0,480,10137,1448.14,1912.27
41,177,3657,332.455,706.545
18,338,5613,5613,5613
1,2121,0,0,0
28,2082,2003,2003,2003
0,131,7409,926.125,1306.55
0,5787,21500,1131.58,570.262
2,3943,13084,297.364,353.704
0,144,1840,1840,1840
2,93,16,16,16
0,146,2558,511.6,1209.93
10,10903,5878,2939,841.093
0,48,0,0,0
67,5820,6083,243.32,1901.8
137,7858,4369,136.531,1923.24
14,241,1966,983,1298.74
0,85,52,26,35
1,273,4665,4665,4665
0,84,1565,1565,1565
3,2564,9328,4664,8079.58
0,128,0,0,0
35,1451,3618,402,1230.27
1,5628,3015,502.5,147.626
11,86,3298,3298,3298
26,4644,1588,397,1351.21
15,2456,13905,1738.12,4072.18
8,170,8166,8166,8166
100,1730,7443,275.667,2774.91
3,3700,1693,423.25,1059.34
0,85,507,253.5,165.429
0,91,88,29.3333,26.3
0,719,2425,269.444,1152.5
0,144,0,0,0
0,80,0,0,0
0,100,3301,1650.5,2006.04
0,572,10988,161.588,355.296
108,1665,7383,351.571,2597.79
0,140,1506,1506,1506
1,795,1506,1506,1506
4,756,1913,318.833,1196.3
0,5460,1344,1344,1344
0,572,1506,1506,1506
1,74,1506,1506,1506
0,80,1840,1840,1840
1,130,1840,1840,1840
0,993,42,14,13.8333
2,453,2112,2112,2112
4,91,1363,1363,1363
1,111,1840,1840,1840
0,528,1537,768.5,98.0455
1,47486,1506,1506,1506
1,424,4427,4427,4427
7,407,1869,1869,1869
0,96,1506,1506,1506
2,8530,2389,2389,2389
690,5287,2686,127.905,1060.38
0,164,877,877,877
2,519,1545,772.5,1383.75
0,424,11,11,11
6,2353,162,27,20.64
2,117,64,21.3333,26.6364
3,206,1890,630,820.435
0,120,3298,3298,3298
180,1277,34136,432.101,946.803
2,288,0,0,0
2,76,2209,2209,2209
0,304,2035,2035,2035
0,317,3657,522.429,383.714
1,154,1857,464.25,70.8413
1,334,2112,2112,2112
5,488,1509,503,881.122
0,260,1495,1495,1495
3,125,1840,1840,1840
2,930,2558,1279,2038.47
0,116,21789,7263,1059.43
0,401,169,169,169
0,1704,42,14,16.3
1,244,5139,5139,5139
1,207,0,0,0
0,360,0,0,0
1,7478,1994,664.667,1791.52
2,226,1247,207.833,262.923
0,80,2112,2112,2112
5,6991,2633,526.6,1324.57
2,130,1102,220.4,491.812
2,156,3171,3171,3171
4,581,3172,1586,2764.59
1,1408,3171,3171,3171
6,439,1796,1796,1796
305,1496,11577,142.926,2730.1
0,274,27,13.5,12.8333
0,88,0,0,0
13,65307,10,10,10
1,136,12,6,9.33333
1,84,5139,5139,5139
2,2758,3361,1120.33,546.406
0,48,0,0,0
2,9395,1474,1474,1474
0,5532,3320,138.333,274.731
1,100,60,30,18.6667
2,360,20,20,20
2,84,2279,2279,2279
0,48,0,0,0
4,121,2265,566.25,489.417
2,80,7326,7326,7326
34,97,6636,6636,6636
1,49,26,26,26
0,148,0,0,0
28,107,4579,1144.75,2246
65,215,2498,192.154,327.422
0,2580,1389,1389,1389
0,4092,3298,3298,3298
0,128,22,22,22
2,40928,1989,397.8,361.613
0,99,11164,2232.8,1650.24
1,84,441,441,441
1,121,2435,1217.5,1764.75
0,102,309,154.5,187.625
7,168,5139,5139,5139
14,1766,1735,1735,1735
94,458,9292,714.769,3569.18
35,19194,3303,1651.5,3288.37
0,85,9834,2458.5,1411.71
9,212,59,19.6667,13.3077
0,123,1735,1735,1735
0,161,24,24,24
0,111,27,13.5,15.5918
0,80,3298,3298,3298
191,239,19265,19265,19265
2,101,289,289,289
0,91,0,0,0
0,424,0,0,0
4,106,2274,1137,1652.53
2,84,19265,19265,19265
0,212,0,0,0
0,304,0,0,0
0,88,0,0,0
0,184,0,0,0
0,108,293,146.5,52.375
0,112,0,0,0
0,208,12202,6101,6497.73
0,124,2389,2389,2389
0,222,16,16,16
0,252,0,0,0
0,116,16,16,16
2,694,14,14,14
1,141,1340,1340,1340
0,974,2558,1279,339.769
6,1366,3291,3291,3291
5,5153,3365,841.25,3266.23
1,132,2312,2312,2312
0,84,0,0,0
0,4300,0,0,0
1,76,0,0,0
0,84,0,0,0
3,110,4026,1342,1776.67
0,88,1423,1423,1423
7,249,66,66,66
0,92,0,0,0
237,15304,5383,75.8169,50.9731
0,393,8235,392.143,2858.75
0,164,54,54,54
44,398,5038,559.778,1532.83
1,383,11,11,11
0,235,37,18.5,13.7857
0,80,54,54,54
3,8894,1244,248.8,224.373
2,371,1214,607,380.784
0,100,0,0,0
0,108,16,16,16
0,84,16,16,16
31,51,4884,610.5,2768.6
2,120,2593,2593,2593
3,84,19266,9633,9633
7,66,2144,306.286,598.725
0,11532,4482,4482,4482
26,12296,4684,1561.33,4356.83
2,104,12320,140,499.49
0,3464,1474,1474,1474
0,3224,1474,1474,1474
0,15444,1535,767.5,1379.8
0,94676,1474,1474,1474
9,386,129,43,38.3333
0,7644,788,49.25,98.3144
0,76,15,15,15
2,80,2279,2279,2279
1,120,1340,1340,1340
7,340,1520,760,1127.5
0,44,0,0,0
0,96,2449,1224.5,1520.33
0,80,1423,1423,1423
6,145,398,66.3333,161.801
2,199,6296,1259.2,2371.16
0,392,1474,1474,1474
1,147,5613,5613,5613
0,88,0,0,0
0,84,3298,3298,3298
1,5340,12,12,12
1,186,22972,3828.67,13693.8
0,92,39,39,39
2,384,44,44,44
11,352,3195,456.429,1549.24
1,77,2312,2312,2312
0,48,0,0,0
1,199,1532,1532,1532
0,3000,2780,1390,1416.25
8,111,3503,1167.67,2176.03
0,160,20421,20421,20421
0,101,1546,773,773
2,96,4427,4427,4427
1135,4395,2278,47.4583,827.645
0,795,0,0,0
0,76,877,877,877
6,100,0,0,0
4,154,19265,19265,19265
0,123,2230,1115,516.8
0,80,0,0,0
0,272,1327,1327,1327
90,174,8218,547.867,6203.26
453,5467,3218,110.966,439.607
0,136,321,160.5,235.959
3,587,11014,3671.33,727.688
3,163,6699,3349.5,3349.5
2,84,5139,5139,5139
23,168,3597,1199,1838.84
17,215,1453,181.625,100.478
38,3757,9287,257.972,1413.85
0,104,16,16,16
1,105,0,0,0
0,100,2227,1113.5,722
1,247,3024,274.909,378.828
0,120,0,0,0
0,148,0,0,0
0,88,0,0,0
0,96,1796,1796,1796
1,109,1796,1796,1796
21,185,2757,689.25,1487.56
1,104,1796,1796,1796
0,588,1796,1796,1796
0,5788,1796,1796,1796
82,4642,7692,256.4,967.589
1,83,2789,2789,2789
0,92,0,0,0
0,89,28,14,9.63636
0,132,1796,1796,1796
0,81,1495,1495,1495
7,4142,523,47.5455,69.7869
5,429,2039,679.667,1669.69
0,76,42,42,42
0,80,14,14,14
24,1299,6640,3320,6573.24
0,192,1549,774.5,1224.81
0,167,571,71.375,143.933
5,4496,5139,5139,5139
18,345,2707,451.167,1599.88
